"URL","from","to","weight","betweenness.edges"
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Kat022916",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@greekkid31",1,1
"https://www.altmetric.com/details/12125570","@David_J_Bier","@claudsDC",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@mrjafri",1,2
"https://www.altmetric.com/details/12125570","@Elvira_OnAir","@dredeyedick",1,1
"https://www.altmetric.com/details/12125570","@JodyAVallejo","@kasantellano",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@carmen_g_gregg",1,1
"https://www.altmetric.com/details/12125570","@NumbersUSA","@Dialmond",1,1
"https://www.altmetric.com/details/12125570","@btrautner","@DilipRatha",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@lp398vc",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@SheriB1957",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@richardcircle",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@derrelldurrett",1,2
"https://www.altmetric.com/details/12125570","@afneil","@FamilyLawD",1,1
"https://www.altmetric.com/details/12125570","@amkelley0616","@valdavon",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@voices365",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@DivyaMPersaud",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@cbolhuis1",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@ahsoka2017",1,2
"https://www.altmetric.com/details/12125570","@theNASEM","@NeveltenJohn",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@SadieCitrus",1,2
"https://www.altmetric.com/details/12125570","@pkedrosky","@bluebrain",1,1
"https://www.altmetric.com/details/12125570","@miller7","@Colo01Liberal",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Truthteller1349",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@gabbyflores76",1,1
"https://www.altmetric.com/details/12125570","@bryan_caplan","@gabriel_weil",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@DrWhoUSA",1,2
"https://www.altmetric.com/details/12125570","@FitzGeraldUCSD","@mike_ph_d",1,2
"https://www.altmetric.com/details/12125570","@JynErso_2017","@Leeannlang6",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@81I2",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@EzraBridger2017",1,2
"https://www.altmetric.com/details/12125570","@JynErso_2017","@LG42017",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@FieldRoamer",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@AltUSOffOfSpEd",1,1
"https://www.altmetric.com/details/12125570","@vixy","@morvabowman",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@KarenHeathAlle2",1,2
"https://www.altmetric.com/details/12125570","@pkedrosky","@rtanglao",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@m_older",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@apakulov",2,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@IriniPapahiu",1,2
"https://www.altmetric.com/details/12125570","@NumbersUSA","@AquilineMagda",1,1
"https://www.altmetric.com/details/12125570","@akaDSN","@lang51b",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@EyeGloArts",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Richmond_Nine",1,1
"https://www.altmetric.com/details/12125570","@m_clem","@dalonsofuentes",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@karmaatwrk",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@TraceySkinner4",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Pooks5329",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@SquirrelWestend",1,2
"https://www.altmetric.com/details/12125570","@NumbersUSA","@CinderPugs",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@OpenToListen",1,1
"https://www.altmetric.com/details/12125570","@ramoffitt3","@diversitydataki",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Truth_Seeker179",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@JudgeFudge5",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@FarkedAgain",1,1
